english_text,french_text,predicted_french_text
I didn't see anything.,Je n'ai rien vu.,Cqw UOQ  XU A Q 5KP Ô înCn O8
I didn't shoot anyone.,Je n'ai tiré sur personne.,Qw w ÀOCOA  nA8XQ UnOQ înCn O8
I didn't shoot anyone.,Je n'ai descendu personne.,"Uà,rtà6ê$$» 57àbeyàÊ2&,Ô îrtr92Ê"
I didn't sleep a wink.,Je n'ai pas fermé l'œil.,QOQMnënîO À Kn  î 5K :Ô î 8
I didn't study at all.,Je n'ai absolument rien étudié.,w AQFA dX UU: KUF8XÀ Q 5ëX A  AÔ Q8A 7w8
I didn't tell anybody.,Je ne l'ai dit à personne.,8F AOU O8n CnAnAq û qw A  înCn O8
I didn't want to know.,Je ne voulais pas savoir.,PnQ  nA OUA  nFA î QOUPnÀO  QQFÀn  nFA
I disagree completely.,Je suis en total désaccord.,KnKOU g MMU : wFAq ëFAq înCn O8
I disagree completely.,Je suis en désaccord complet.,O8Oî OnQQ  î OUA  nPO  QQO   8PnQFUQ K OH înCn O8
I dislike all of them.,Je les déteste tous.,wFAq îOFAq MnA AÀO înCn O8
I dislike all of them.,Je les déteste toutes.,K  gqÀ nA8FAOQn 
I dislike being alone.,Je déteste rester seul., UXî: FK FûOîOÀ UFAnÀQ înCn O8
I dislike being alone.,Je n'aime pas être seul.,FKnO nAPOQ COA Q 5QnAq KFUOÔ K OH î 8H
I dislike being alone.,Je n'aime pas être seule.,KwnînKQ înqw nAq QFîX nFAQ  A8 QOUPnÀOQ AnqOUn  înCn O8
I do feel pretty good.,Je me sens en effet assez bien.,Q K  t2êr0à nb0
I do have one request.,J'ai effectivement une requête.,nA OUA  nFA î Q OOîQ înCn O8
I do have one request.,J'ai effectivement une demande.,KKM  ëFUO  wFî8nAq K OH î 8H
I do not drink coffee.,Je ne bois pas de café.,FKKîO înqw nAq OîOÀ UFAnÀ 5IwFAqQw AÔ ÀFHS î 8H
I do not know exactly.,Je ne sais pas exactement.,7  X nA8 w ëX Un Q8A 7w8
I do not like science.,Je n'aime pas les sciences.,OC7 QQ: FM  wO UOKX7înÀ FM I C7n 
I do what is required.,Je fais ce qui est requis.,7UF A 7UF wOUQ w UUnC A  UXQ OO QOUPnÀOQ 5wFAq ëFAqÔ înCn O8
I don't care for wine.,Le vin m'est indifférent.,QXA Kw UC ÀOX nÀ î 57 Aqî 8OQwÔ înCn O8
I don't drink alcohol.,Je ne bois pas d'alcool.,OQQ U Fnî 5XëÔ înCn O8
I don't drink anymore.,Je ne bois plus.,g MÀF nAPOQ COA  5 Qn  K ÀnMnÀÔ î 8
I don't eat breakfast.,Je ne prends pas de petit déjeuner.,QnÀ î îFqnQ nÀQ înCn O8
I don't enjoy riddles.,Je n'aime pas les devinettes.,8XKFA  dMÀ îîÀ
I don't even have one.,Je n'en ai même pas.,ÀFCK QQ 7XQnAOQQ QFîX nFAQ înCn O8
I don't even have one.,Je n'en ai même pas un seul.,8Xm FA nAPOQ COA Q K OH î 8H
I don't even have one.,Je n'en ai même pas une seule.,"QRb&,rb2 î$be23r9k îrtr92Ê"
I don't even know why.,Je ne sais même pas pourquoi.,KwnînKQ înqw nAq OmKFU  7HPH
I don't even know why.,J'ignore même pourquoi.,PrGê$ M$RbÊà9r$b îrtr92Ê
I don't even know you.,Je ne vous connais même pas.,UC  wFî8nAqQ îîÀ
I don't even know you.,Je ne te connais même pas.,Q: Unë   7FFA QXA QOU ëQn Q8A 7w8
I don't even like you.,Je ne vous apprécie même pas.,w AQFA 7Xnî8nAq C  OUn îQûë KÀûK7KC Q8A 7w8
I don't even like you.,Je ne t'apprécie même pas.,"Q$R9, À,rbà nb32&9t2b9 MRbÊ& QKÀ"
I don't feel so great.,Je ne me sens pas si bien.,AO  ÀwnA  FPOUQO Q FKKFU XAn : MXA8 QKÀ
I don't feel so smart.,Je ne me sens pas si intelligent.,AFCXU   UXQ  ÀFCK A: 5QnAq KFUOÔ î 8
I don't feel so smart.,Je ne me sens pas si intelligente.,"îrà$brbe î$beÊà K,àêtà02R9r0ày À$HS î9Ê"
I don't feel so smart.,Je ne me sens pas si élégant., w n XAnFA C AXM À XUnAq ÀFHSî 8
I don't get much mail.,Je ne reçois pas beaucoup de courrier.,ëOîîFqq  Fî U C AnqOUn  înCn O8
I don't get much mail.,Je reçois peu de courrier.,Q CXn UOQFU  c QK  înCn O8
I don't get the point.,Je ne saisis pas l'argument.,KOUAF8 UnÀ U8 î Aë  5KUnP  OÔ înCn O8
I don't have a choice.,Je n'ai pas le choix.,QÀwAOn8OU OîOÀ UnÀ  AqFî  5QXÔS î8 
I don't have a curfew.,Je n'ai pas de couvre-feu.," Q Q$R9,  6êr0à Qày2& F66r02 5K9kÔ î9Ê"
I don't have a family.,Je n'ai pas de famille., àytàê9 w$be ë$be À$HS îrtr92Ê
I don't have a pencil.,Je n'ai pas de crayon.,î XqMQ  OUCnA îQ înCn O8
I don't have a sister.,Je n'ai pas de sœurs., K î wFî8nAqQ înCn O8
I don't have a system.,Je n'ai pas de système.,K ÀnMnÀ 7 Aqî 8OQw  OîOÀFC înCn O8
I don't have a tattoo.,Je n'ai pas de tatouage.,QnAq KFUO ÀFAQFU nXC nAPOQ COA  C A qOCOA  înCn O8
I don't have a ticket.,Je n'ai pas de ticket.,AO  V XOKQ  OÀwAFîFqnOQS nAÀ
I don't have a ticket.,Je n'ai pas de billet.,UOîn AÀO  OîOÀFC înCn O8
I don't have a weapon.,Je n'ai pas d'arme.,7 :înAO qîF7 î înCn O8
I don't have a weapon.,Je ne dispose pas d'une arme., MUnÀ   F OUQ QOUPnÀOQ înCn O8
I don't have an alibi.,Je n'ai pas d'alibi.,AFën  Qw UO8 QOUPnÀOQ nA8n  KUnP  O înCn O8
I don't have any kids.,Je n'ai aucun enfant.,Mêr2bÊ& Kê$3rÊ2b9 nb92êbà9r$bày îrtr92Ê
I don't have any pens.,Je n'ai aucun stylo.,8F  ÀwOCnÀ î nCO  qtGw
I don't have my purse.,Je n'ai pas mon porte-monnaie.,ëOA MUnÀ nA8XQ UnOQ înCn O8
I don't have my purse.,Je n'ai pas mon sac-à-main.,Që:‘‘ nA OUA  nFA î înCn O8 QXIwFX
I don't have the ball.,Je n'ai pas la balle.,q$yÊ Càêr9rt2 îrtr92Ê
I don't have the time.,Je n'en ai pas le temps.,KnCKUn ÀwnAÀw  8 2QOUPnÀOQ înCn O8
I don't have them yet.,Je ne les ai pas encore.,QFUFQ MXA8 C A qOCOA  îîÀ
I don't have them yet.,Je n'en dispose pas encore.,"À,àthr$b g29 îrtr92Ê"
I don't have your wit.,Je n'ai pas votre esprit.,ëAFÀ AnqOUn A  OQ  Fnî ÀFCK A: înCn O8
I don't have your wit.,Je n'ai pas ton esprit.,înC 5AFCnAOOQÔ KUnP  O înCn O8
I don't kiss and tell.,Je ne fais pas de confessions sur l'oreiller.,n8îÀ MnA AÀO înCn O8
I don't know anything.,Je ne sais rien.,KKM   Qn  wFî8nAq K OH î 8H
I don't know his name.,J'ignore son nom.,ënAq7F U8 î CnA  OQ KUFKOU : C A qOCOA  ÀFCK A: înCn O8
I don't know how long.,Je ne sais pas pendant combien de temps.,ënAq7F U8 KUFKOU : C A qOCOA  ÀFCK A: înCn O8
I don't know how long.,J'ignore pendant combien de temps.,g CKî A 57PnÔ înCn O8
I don't know how long.,Je ne sais pas pour combien de temps.,QFî COîn  wF Oî C A qOCOA  5Qw Aqw nÔ ÀFCK A: înCn O8
I don't know how long.,J'ignore pour combien de temps.,QàbÊ&9$b2 w$yÊrbe 7HPH
I don't know that yet.,Je ne le sais pas encore.,w AQFA 7Xnî8nAq C  OUn îQûë KÀ Q8A 7w8
I don't know who I am.,Je ne sais pas qui je suis.,Qry32ê Càêr9rt2 îrtr92Ê
I don't like anything.,Je n'aime rien.,72yy Càêr9rt2 îrtr92Ê
I don't like bad boys.,Je n'aime pas un voyou.,w AQFA 7Xnî8nAq C  OUn îQûK7KC Q8A 7w8
I don't like big dogs.,Je n'aime pas les molosses.,"w$be ë$be àbÊ À,rbà  $""beà& qà& Q9$êàe2 À$thàbk îrtr92Ê"
I don't like big dogs.,Je n'aime pas les gros chiens.,CF8OUA  U 8O wFî8nAqQ K OH î 8H
I don't like drinking.,Je n'aime pas boire.,7nM nn Àà09R&  nP 572êtRÊàÔ îK
I don't like her face.,Je n'aime pas son visage.,OPFAnë UOQFXUÀO OMMnÀnOAÀ: qC7w
I don't like homework.,Je n'aime pas les devoirs.,"Q$R9, À,rbà  2ày9,  Ê3r&$êk îrtr92Ê"
I don't like homework.,Je n'aime pas les devoirs à la maison.,QFAqëî  À AAnAq KX7înÀ ÀFCK A: înCn O8
I don't like hot tubs.,Je n'aime pas les baquets à eau chaude.,gHKH CFUq A QOÀXUn nOQ KwnînKKnAOQS nAÀH
I don't like studying.,Je n'aime pas apprendre.,7nFÀFA UOQO UÀw înCn O8
I don't like studying.,"Moi, j’aime pas étudier.",OmKUOQQ MFF8 qUFXK ÀFHS î 8H
I don't like that one.,Je n'aime pas celui-là.,gqÀ Cn88îO O Q  MIO
I don't like the dark.,Je n'aime pas l'obscurité.,C U nA ÀXUUnO  Qn  K OH înCn O8 5nA COC7OUQïï PFîXA  U: îndXn8  nFAÔ
I don't like this hat.,Je n'aime pas ce chapeau.,QwnîK  CO8nÀ UO înCn O8
I don't like this one.,Je n'aime pas celui-ci.,XQ À Mà0Ry9k $6 7R&rb2&&  Êtrbr&9êà9r$b
I don't like to clean.,Je n'aime pas nettoyer.,C 7 ë UqF Q8A 7w8
I don't like to drive.,Je n'aime pas conduire.,7U À OKî nAPOQ COA Q înCn O8
I don't like to guess.,Je n'aime pas deviner.,À$b9rb2b9ày 7êà&ry nbÊR&9êrà  R9$t$9r3à î9Êà
I don't like to paint.,Je n'aime pas peindre.,À$b9rb2b9ày nbÊR&9êrà 2 À$t2ê0r$ Ê2 K20à& Ê2 U2h$&r0à$  R9$t$9r3à& î9Êà
I don't live with Tom.,Je ne vis pas avec Tom.,AO  ÀwnA  î XA8U: înCn O8
I don't live with Tom.,Je n'habite pas avec Tom.,q U7 A QFX w  MUnÀ  5KUFKUnO  U:Ô înCn O8
I don't make mistakes.,Je ne commets pas d'erreurs.,OQQ U  OîOÀFC înCn O8
I don't mind standing.,Ça m'est égal de rester debout.,OAOUQ:Q
I don't mind the food.,La nourriture ne me dérange pas.,A  XU î ÀFFî wFî8nAqQ î 8
I don't need a doctor.,Je n'ai pas besoin de médecin.,"qRàbe»,$R Q,rhkàêÊ nb92êbà9r$bày À$thàbk yrtr92Ê"
I don't need a lawyer.,Je n'ai pas besoin d'avocat.,CQnq Crbe9àr nb&Rêàb02 À$HS î9ÊH
I don't need a new TV.,Je n'ai pas besoin d'une nouvelle télévision.,PO8 A   UOQFXUÀOQ gOUQO: nn înCn O8
I don't need a reason.,Je n'ai pas besoin d'une raison.,8U7ûwnÀFC 7OUw 8
I don't need advisers.,Je n'ai pas besoin de conseillers.,CnîPnë qw A  înCn O8
I don't need any help.,Je n'ai besoin d'aucune aide.,K  g  Cr9&Rr î2à&rbe nbÊ$b2&rà
I don't need any rest.,Je n'ai pas besoin de quelconque repos.,UO  nî MnA AÀO q7U
I don't need anything.,Je n'ai besoin de rien.,KKM  g K A KUOM C A qOU K OH î 8H
I don't need your job.,Je n'ai pas besoin de votre boulot.,ëXOwAO p A qOî Q8A 7w8
I don't need your job.,Je n'ai pas besoin de ton boulot.,ÀwnA  qUOOA UOQFXUÀOQ 5mn COAÔ Q îOQ ÀFHS î 8
I don't really recall.,Je ne me le rappelle pas vraiment., H CH COA8nQ c ÀFCK A: înCn O8
I don't see a problem.,Je ne vois pas où est le problème.,KKM  g K A KUOM nAPOQ FU K OH î 8H
I don't see any blood.,Je ne vois pas de sang.,KKM  g K A nn K OH î 8H
I don't see the point.,Je n'en vois pas l'objet.,KKM  g K A n K OH î 8H
I don't shave my legs.,Je ne me rase pas les jambes.,KKM  g K A wFî8nAq K OH î 8H
I don't sleep anymore.,Je ne dors plus.,KKM  ëFUO  n K OH î 8H
I don't speak Catalan.,Je ne parle pas le catalan.,M2ÊOj  0«Rr&r9r$b 7P
I don't speak Chinese.,Je ne parle pas chinois., wO ÀOA U î 8OKFQn FU: 5K OÔ înCn O8
I don't speak English.,Je ne parle pas l'anglais.,À Kn  î QKUnAq înCn O8
I don't speak English.,Je ne parle pas anglais.,  C7 w$yÊrbe& 7HPH
I don't speak Spanish.,Je ne parle pas l'espagnol.,XAnîOPOU KwnînKKnAOQS nAÀH
I don't trust anybody.,Je ne me fie à personne.,"Q,êr  êR&9 ë sâVo"
I don't understand it.,Je ne le comprends pas., UXQ OOQ  FUëOUQ KUFMn  K U nÀnK  nFA MXA8  77F   î 7FU  FUnOQ 5K ënQ  AÔ înCn O8
I don't want any more.,Je n'en veux pas plus.,8U qFA À Kn  î MnA AÀO înCn O8
I don't want any more.,Je ne veux plus.,ÀwnA  IwOQw Aq 7 Aë ÀFHS î 8
I don't want to dance.,Je ne veux pas danser.,îr62&9ky2 nb92êr$ê îîK
I don't want to share.,Je ne veux pas partager.,82yy nb92êbà9r$bày Q2ê3r02& nbÊrà Kêr3à92 îrtr92Ê
I don't want to sleep.,Je ne veux pas dormir.," 2b02b9  20,b$y$ek 5Q,2b»,2bÔ À$HS î 8"
I don't want your job.,Je ne veux pas de ton boulot.,7FQ FA QÀnOA nMnÀ M U O Q  7HPH
I don't want your job.,Je ne veux pas ton boulot.,QnAFKOÀ wFAq ëFAq 5QnAq KFUOÔ K OH î 8H
I don't work tomorrow.,Je ne travaille pas demain.,n7C  FUî8  U 8O ÀFUKFU  nFA
I doubt if it'll rain.,Je doute qu'il pleuvra.,mn COA qUO   ÀFUKFU  nFA
I doubt if it'll snow.,Je doute qu'il neigera.,Q CQXAq OîOÀ UFAnÀQ PnO A C  w n AqX:OA ÀFCK A: înCn O8
I dove into the river.,Je plongeai dans la rivière.,"À$b$0$K,ryyrh& ÀàbàÊà Càêx29rbe c  êàÊrbe XîÀ"
I dove into the river.,Je plongeai dans le fleuve.,nQd  Qn   qqUOq  FU K OH î 8H
I drank tea yesterday.,J'ai bu du thé hier.,K A QFAnÀ nA8XQ Un î 8OPnÀOQ Q îOQ 5CÔ Q8A 7w8
I enjoy salsa dancing.,J'aime danser la salsa.,ÀwnA  înMO nAQXU AÀO 5QnAq KFUOÔ K OH î 8H
I explained it to him.,Je lui ai expliqué.,     Q OOî înCn O8 QXKOU AAX  nFA MXA8
I explained it to him.,Je le lui ai expliqué.,8n CFA8 QOÀXUn nOQ înCn O8
I extended my holiday.,J'ai prolongé mes vacances.,P UXA 7OPOU qOQ 5InC7 7 OÔ 5KUnP  OÔ înCn O8
I feed meat to my dog.,J'ai donné de la viande au chien.,UO8 FAO COm Q8A 7w8
I feel a little woozy.,Je me sens un peu dans les vapes., OîëFC ëOA:  înCn O8
I feel bad about that.,Je me sens mal à ce sujet., QOQFUn Q O nAPOUQnFAOQ  COUnÀ A OmKUOQQ ÀwnîO înCn  8 
I feel better already.,Je me sens déjà mieux.,"7Më  5 ,àryàbÊÔ îrtr92Ê"
I feel kind of hungry.,J'ai assez faim.,OQ Oîî  gFnA  POA XUO ÀFCK A: înCn O8
I feel kind of hungry.,J'ai plus ou moins faim.,qQ OAqnAOOUnAq c ÀFAQ UXÀ nFA CXC7 n KUnP  O înCn O8
I feel like I'm ready.,Je me sens pour ainsi dire prêt.,"À,rbà C2ê0,àb9& Q20Rêr9r2&  &&29 Càbàe2t2b9 À$HS î9Ê"
I feel like I'm ready.,Je me sens pour ainsi dire prête.,ÀCOÀ OAqnAOOUnAq C ÀwnAOU: nCKFU  c OmKFU  ÀFHS î 8
I feel like a new man.,Je me sens comme un homme nouveau.,Ccq UO î OQ   O  Qn  wFî8nAq ÀFCK A: K OH î 8H
I feel like going out.,J'ai envie de sortir., ëF7OA QXKKî: ÀFCK A: qw A  înCn O8
I feel much safer now.,"Je me sens beaucoup plus en sécurité, maintenant.",   Q OOî QOUPnÀO nA8n  KUnP  O înCn O8
I feel much safer now.,"Je me sens bien davantage en sécurité, maintenant.",ÀUO8n  QXnQQO wFî8nAqQ 5 XQ U în Ô înCn O8
I feel much safer now.,"Je me sens bien plus en sécurité, maintenant.",nnMî FKKFU XAn nOQ MXA8 4
I feel perfectly fine.,Je me sens parfaitement bien.,Cà2ê&x îrb2 nbÊrà Kêr3à92 îrtr92Ê
I feel so embarrassed.,Je me sens tellement gêné !,w AQFA dX UU: KUF8XÀ Q 5U   AqÔ Q8A 7w8
I feel so embarrassed.,Je me sens tellement gênée !," àb À,$be C$9$ê Qày2& K92H î9ÊH"
I feel so much better.,Je me sens tellement mieux.,U2&h$b&k& 7R&rb2&& Q$yR9r$b& nbÊrà Kêr3à92 îrtr92Ê
I feel very confident.,Je me sens très en confiance.,g U : CÀ8OUCF   M U O Q S nAÀ
I fell into the water.,Je suis tombé dans l'eau.,ÀwnA  w U7FXU OAqnAOOUnAq ÀFCK A: 57UXAOnÔ Q8A 7w8
I fell into the water.,Je suis tombée dans l'eau.,AF7îO 8OOK   OU 57Ô Q8A 7w8
I felt a drop of rain.,Je sentis une goutte de pluie.,"Càêrà îRr&à QH M2êbàbÊ2»ûqRrbà  n M ÀàêÊrbày w2ày9, nb92êbà9r$bày K,ryrhhrb2&S nb0H"
I felt a drop of rain.,J'ai senti une goutte de pluie.," àytàê9  &rà U2ày9k Kê$h2ê9k À$b&Ry9rbe 5Q,2b»,2bÔ À$HS î9Ê"
I felt a little dizzy.,Je me sentis un peu prise de vertige.,K2b&r$b&xà&&2 A$3àê9r& V
I felt a little dizzy.,Je me suis sentie un peu prise de vertige.,XtGê2yyàûQ9r69Rbe A$3àê9r&
I felt a little dizzy.,Je me sentis un peu pris de vertige.,Ar&&àb F32ê&2à& nb32&9t2b9& 7HPH
I felt a little dizzy.,Je me suis senti un peu pris de vertige.,U Q qnU  Q KF OU ÀFCK A:
I felt a little stiff.,Je me suis sentie un peu raide.,8n qOF 7XQnAOQQ QOUPnÀOQ nA8n  KUnP  O înCn O8
I felt a little stiff.,Je me suis senti un peu raide.,Àn nÀQ qîF7 î QKOÀn î Qn X  nFA MXA8
I felt a little stiff.,Je me sentis un peu raide.,82yy qtGw
I felt bad afterwards.,Je me suis senti mal après coup.,82yy À$thR92ê 5Kê$hêr29àêkÔ îrtr92Ê
I felt bad afterwards.,Je me suis sentie mal après coup.,  A ÀwFAq c QFAQ CF FU ÀFCK A: 5QnAq KFUOÔ KUnP  O înCn O8
I find him intriguing.,Je le trouve intrigant.,X7Q qê$Rh MRbÊrbe 5g2ê&2kÔ îrtr92Ê
I find that offensive.,Je trouve ça offensant.,CF FU nC qO 5wëÔ înCn O8
I find that offensive.,Je trouve ça inapproprié.,K  nA U Q Un U : 
I find that offensive.,Je trouve ça déplaisant.,C$9$ê ntàe2 Ob92êhêr&2& K92 î9Ê
I find you attractive.,Je te trouve attirant.,8:OU  A8 7î nU nAPOQ COA  7 Aë înCn O8
I find you attractive.,Je te trouve attirante.,O Q  7Un8qO qîF7 î înCn O8
I find you attractive.,Je vous trouve attirant., dU À Kn  î C A qOCOA  îîÀ
I find you attractive.,Je vous trouve attirante.,Àr9r0 8r0à&9ày 5w$be ë$beÔ nb32&9t2b9 w$yÊrbe& À$thàbk îrtr92Ê
I find you attractive.,Je vous trouve attirants.,:îq 7XîînFA nA OUA  nFA î ÀFHS î 8H
I find you attractive.,Je vous trouve attirantes.,q nî 5nbÊràÔ îrtr92Ê
I find you intriguing.,Je te trouve intrigante.,"8H OH Q,à"" c À$H 5î$bÊ$bÔS îîK "
I find you intriguing.,Je te trouve intrigant.,MMC MîFXU CnîîQ 5Q 7 wÔ Q8AH 7w8H
I followed the recipe.,J'ai suivi la recette.,QFX w  Qn  wFî8nAqQ 5KUnP  OÔ înCn O8
I followed the recipe.,Je suivis la recette.,QKO AO  FUëQ û nA8n  nAÀH
I forgave his mistake.,J'ai pardonné son erreur.,"C2àÊ g$,b&$b c À$thàbkS îîÀ"
I forgot all about it.,J'ai tout oublié à ce sujet.,"87 I""rêb CàRêr9rR&  êàÊrbe îrtr92Ê"
I forgot my briefcase.,J'ai oublié ma mallette.,"87 I""rêb U2ày O&9à92 nb32&9t2b9& A$H s îrtr92Ê"
I forgot to tell them.,J'ai oublié de leur dire.,"87 I""rêb U2ày O&9à92 nb32&9t2b9& A$H V îrtr92Ê"
I forgot to tell them.,J'ai oublié de le leur dire., OCOAFQ 5C î :Qn Ô Q8A 7w8
I forgot to tell them.,J'ai oublié de leur raconter.,OMQî nb92êbà9r$bày îrtr92Ê
I found out something.,J'ai découvert quelque chose.,wRàê$be nb92êbà9r$bày Q20Rêr9r2& îrtr92Ê
I found out something.,Je découvris quelque chose.,Q CX8OU  QwnKKnAq înAO î 8
I found the book easy.,J'ai trouvé ce livre facile.,À îÀ  nUÀU M   QQO Q înCn O8
I found the book easy.,Je trouvais le livre facile.,XF7 ë : wn A KUnP  O înCn O8
I found the box empty.,Je trouvai la boîte vide.,îH 8H   mQFA QnAq KFUO K OH î 8H
I found the empty box.,Je trouvai la boîte vide.,I C7n  UOPOAXO  X wFUn :
I found the game easy.,J'ai trouvé le jeu facile.,À îÀ  Pn  nFA  QQO Q înCn O8
I gave him my address.,Je lui donnai mon adresse.,À îÀ  Pn  nFA À Kn  î înCn O8
I gave him my address.,Je lui ai donné mon adresse.,7C  nbÊrà Mrbàb0rày Q2ê3r02& Kêr3à92 îrtr92Ê
I gave him my address.,Je lui ai remis mon adresse., U ÀwAn8 Q8A 7w8
I get anything I want.,J'obtiens tout ce que je veux., 8 An  U AQCnQQnFA 5nA8n Ô înCn O8
I get motion sickness.,Je suis malade en déplacement.,M UCOUQ ÀwFnÀO înCn O8
I get the picture now.,Je m'en fais désormais une idée.,ÀXCCnAQ KF OU îîÀ
I get up around seven.,Je me lève vers sept heures.,PnO A C nAPOQ COA  KUFKOU : wFî8nAqQ înCn O8
I glanced at my watch.,J'ai jeté un coup d'œil à ma montre.,     Q OOî înCn O8 OCKîF:OOQ KOAQnFA QÀwOCO
I go there every year.,J'y vais tous les ans.,ÀUFCK FA qUO POQ ÀFAQXCOU OîOÀ UnÀ îQ înCn O8
I go to bed about ten.,Je me couche vers 10 heures.,Q X8n ÀwOPUFA KwnîînKQ ÀFCK A:
I go to school by bus.,Je vais en cours en bus.,CRêReàhhà w$yÊrbe& îrtr92Ê
I go to school by bus.,Je vais à l'école en bus.,FUQ î nA OUA  nFA î ÀFUK
I got my ears pierced.,Je me suis fait percer les oreilles.,7FÀîw nA8XQ Un î q QOQ 5QFAqgn AqÔ ÀFHS î 8H
I got out of the taxi.,Je sortis du taxi.,7Un nQw ÀF  FA qUF nAq  QQFÀn  nFA înCn O85 wOÔ
I got soap in my eyes.,Je me suis pris du savon dans les yeux.,À  Ààktàb À$thàbk
I got what I came for.,J'ai obtenu ce pourquoi je suis venu.,U :FAq FîOMnAQ 5QnAq KFUOÔ K O î 8 5nA COC7OUQç PFîXA  U: îndXn8  nFAÔ
I got what I came for.,J'ai obtenu ce pourquoi je suis venue.,K  qôQ Q20Rêr9k Q$yR9r$b Q2ê3r02& 
I got what you needed.,J'ai obtenu ce dont vous aviez besoin.,ÀwnA  nA8XQ Un î nA OUA  nFA î  UXQ  înCn O8
I got what you needed.,J'ai obtenu ce dont tu avais besoin.,7OngnAqûM AXÀ COÀw  UFAnÀQ ÀFHS î 8
I got what you wanted.,J'ai obtenu ce que vous vouliez.,Q   Àwn c Q   Àwn  FUî8 n8O Q8A 7w8
I got what you wanted.,J'ai obtenu ce que tu voulais.,QînKëAF  Q8A 7w8
I grew up around here.,J'ai grandi par ici.,OMOnwX 5wFAqëFAqÔ înCn O8
I grew up around here.,J'ai grandi dans les environs.,Qrb$Kà0 Q$yR9r$b& àbÊ Q2ê3r02& îrtr92Ê
I guess I fell asleep.,Je suppose que je me suis endormi.,Kà0r6r0  yyràb02  &rà Fhh$ê9Rbr9k MRbÊ îHKH
I guess I fell asleep.,Je suppose que je me suis endormie.,"K$""2ê À$b&9êR09r$b À$êh$êà9r$b $6 À,rbàS î9Ê"
I guess it's possible.,J'imagine que c'est possible.,A  XU î FîOFÀwOCnÀ îQ Q8A 7w8
I guess the dog bites.,On dirait que le chien mord.,"À,rbà  &&29& K$ê96$yr$ îrtr92Ê"
I guess the dog bites.,Je crois que le chien mord.,MX XUO KnKO nA8XQ UnOQ QOUPnÀOQ KUnP  O înCn O8
I guess we were happy.,Je suppose que nous étions heureux.,ÀFMÀF  qUn ÀFCCF8n nOQ K OH î 8H
I guess we were happy.,Je suppose que nous étions heureuses.,CnAnQ U: FM wO î w  A8 Q An   nFA
I guess you are right.,Je suppose que tu as raison.,îFUO î O Q   MUnÀ  înCn O8
I guess you are right.,Je suppose que vous avez raison.,KPw À$êh
I had a bad day today.,"J'ai eu une mauvaise journée, aujourd'hui.",FXO ÀFCCOUÀn î UOn  C A qOCOA  K OH î 8H
I had a narrow escape.,Je l'ai échappé belle.,KUnCO KUFKOU : MXA8  Qn  înCn O8 K U AOUQwnK
I had a race with him.,J'ai concouru avec lui., OÀFC CrÊÊy2 Oà&9 îrtr92Ê
I had a strange dream.,J'ai fait un drôle de rêve.,QFU dn  q  O  : ÀFCK A: MFU  UXÀënAq QOUPnÀOQ
I had my ears checked.,J'ai fait contrôler mon audition.,OQq Q8A 7w8
I had my eyes checked.,J'ai fait contrôler ma vision., &&Rêàb02 Q$yR9r$b& nb&Rêàb02  e2b0k nb0
I had my money stolen.,On m'a volé mon argent.,Q  A8 U8 Àw U OUO8 înMO nAQXU AÀO  qOAÀ: ÀFCK A:
I had my room cleaned.,J'ai fait nettoyer ma chambre.,KUnÀO QFîX nFAQ KwnînKKnAOQ nAÀ
I had my shoes shined.,J'ai fait cirer mes chaussures.,ëUnQ  îû Q UF Q8A 7w8
I had my watch stolen.,Ma montre a été volée.,KUnCO KUFKOU : MXA8  Qn  qK K OH înCn O8
I had no other choice.,Je n'avais pas d'autre choix.,Q À îO UAnAq înCn O8
I had nothing to hide.,Je n'avais rien à cacher.,"Q9àbÊàêÊ À,àê92ê2Ê Ààhr9ày c  Ê3r&$êk Are2êrà îrtr92Ê"
I had second thoughts.,J'ai reconsidéré la question.,7FQ FA QÀnOA nMnÀ QOUPnÀOQ KUnP  O înCn O8
I had to do something.,Il me fallait faire quelque chose.,Q  A8 U8 Àw U OUO8 wFî8nAqQ 5QnAq KFUOÔ KUnP  O înCn O8
I had to do something.,Il fallait que je fasse quelque chose.,QwOîî AnqOUn  OmKîFU  nFA KUFKOU nOQ  îKw  înCn O8
I had to go back home.,Il m'a fallu retourner chez moi.,Q  A8 U8 wFî8nAqQ ÀF O 8ïïnPFnUO
I had to go back home.,J'ai dû retourner chez moi.,"Q9àbÊàêÊ À,àê92ê2Ê  KU îrtr92Ê"
I had to leave my job.,J'ai dû quitter mon boulot.,KUnÀO QFîX nFAQ QnAq KFUO K O î 8
I handed a map to him.,Je lui tendis une carte.,K H Kêr02 Q$yR9r$b& nbÊ$b2&rà
I hate guys like that.,Je déteste les gars comme ça.,Àê2Êr9 QRr&&2 qê$Rh  q
I hate the way I look.,Je déteste l'air que j'ai.,ÀnÀÀ w$be ë$be Mrbàb02 sâVo C A îrtr92Ê
I hate this apartment.,Je déteste cet appartement., eêryrbx  &rà Kêr3à92 îrtr92Ê
I hated history class.,Je détestais les cours d'histoire.,qw 8232y$ht2b9 îrtr92Ê
I hated history class.,J'ai détesté les cours d'histoire.,KUnÀO   OUwFXQOÀFFKOUQ  QQFÀn  OQ înCn O8
I have a Japanese car.,J'ai une voiture japonaise.,dRàt CRy9rûQ9êà92ek MRbÊ& 5QKÀÔ îrtr92Ê
